variable_type,elasticity,elasticity_se,ols_coef,ppml_coef,diff_elast_minus_ols,se_diff_elast_minus_ols,test_elast_vs_ols_stat,test_elast_vs_ols_p,diff_elast_minus_ppml,se_diff_elast_minus_ppml,test_elast_vs_ppml_stat,test_elast_vs_ppml_p,diff_ols_minus_ppml,se_diff_ols_minus_ppml,test_ols_vs_ppml_stat,test_ols_vs_ppml_p,nobs,time,paper,panel
continuous,0.4863150696291861,0.059923777014928,0.5800024573255999,-0.1314861005937789,-0.0936873876964137,0.0351796669190128,7.092164702194444,0.0077421675839749,0.617801170222965,0.0629438865482625,96.33638428847512,0.0,0.7114885579193788,0.0534745044571629,177.02813864146793,0.0,21856,2026-03-25 12:28:19,51,result_table_4_3
continuous,-4.901229904957365,0.1210631825901112,-4.899425809113789,-4.777195853125919,-0.0018040958435756,0.0919113279378983,0.0003852841384931,0.9843396040085493,-0.1240340518314457,0.1231922707313319,1.0137128257906731,0.3140150010022294,-0.1222299559878701,0.06290412371714,3.7756964982450265,0.0520022465509326,3023,2026-03-25 12:40:06,55,result_table_1_A_1
continuous,0.5232524243781552,0.3845297497898197,0.0801728940791756,0.0549740952798815,0.4430795302989795,0.3832376829484449,1.3366784973718158,0.247620572310417,0.4682783290982737,0.3839738021603474,1.4873217590881678,0.2226324694273201,0.0251987987992941,0.0180420062447981,1.9506979169158547,0.1625116633829511,3523,2026-03-25 12:43:59,58,result_table_3_B_3
continuous,0.0284269535403308,0.0316490911881441,0.0294001437759149,0.0109022450404123,-0.0009731902355841,0.0322300047841272,0.0009117478454309,0.9759114064469304,0.0175247084999185,0.0308614381719968,0.3224551251898923,0.5701359268985212,0.0184978987355026,0.0053314171365939,12.03814217158939,0.0005212289558966,3466,2026-03-25 12:46:47,58,result_table_3_B_2
binary,-766.2444704184533,2160.6931138836694,0.1615654027192337,0.07260642813085,-766.4060358211725,2160.6980045483965,0.1258142088563507,0.722812113100774,-766.3170768465841,2160.6937569116494,0.1257854978638247,0.7228424381220477,0.0889589745883837,0.032272176090919,7.598415450782445,0.0058419620592162,3466,2026-03-25 12:50:30,58,result_table_4_A_2
binary,-174.86711698522635,154.23425680417336,0.4623647109891418,0.8405391905332958,-175.3294816962155,154.23826465029134,1.292187802767123,0.255645157640001,-175.70765617575967,154.23901666636812,1.2977554925089292,0.2546236160577575,-0.378174479544154,0.1375489417464973,7.559097183854242,0.0059707895776636,3523,2026-03-25 12:53:41,58,result_table_4_A_3
continuous,0.0131070849289254,0.0340045337851659,0.0752311975066451,0.0270093936619991,-0.0621241125777196,0.0329630210369911,3.551946214388433,0.0594756521510189,-0.0139023087330736,0.032962835312587,0.1778790233503309,0.6732023460699166,0.0482218038446459,0.0097288038880458,24.56789832785817,7.173690289574708e-07,3466,2026-03-25 12:57:05,58,result_table_3_A_2
continuous,-1.87363850087365,1.7094435885896488,0.168038904355352,0.1984233920588126,-2.041677405229002,1.708086665561173,1.4287440688408206,0.2319695164933857,-2.072061892932463,1.7088060082479484,1.470347280951778,0.2252909085882197,-0.0303844877034606,0.031621533436691,0.9232896849102707,0.3366126883938461,3523,2026-03-25 13:01:41,58,result_table_3_A_3
continuous,-0.0264140239592758,0.0043756449902295,-0.0365147668494584,-0.0716312371563324,0.0101007428901825,0.002909869979829,12.049234727435188,0.0005181364618208,0.0452172131970565,0.0309928930704785,2.128547516028674,0.1445776989154237,0.0351164703068739,0.0303581983465953,1.3380419370651158,0.2473795719162485,68826,2026-03-25 13:06:16,63,result_table_9_data_1
continuous,6.724857038881523,5.367766756527937,0.1161827730056158,0.1500076706336169,6.608674265875907,5.385252489075599,1.5059708054190344,0.2197549366428005,6.574849368247906,5.333815342442832,1.519482359150746,0.2176978445439654,-0.033824897628001,0.0662191728658502,0.2609188635494581,0.609489584949413,87,2026-03-25 14:28:57,80,result_table_4_beta_bond_p1
continuous,0.2926790351306392,0.2144624181056039,-0.1881263214174063,-0.1846556939888807,0.4808053565480455,0.2150474739408686,4.998847683489451,0.0253642001679194,0.4773347291195199,0.2130110934339628,5.021594303177627,0.0250331099263656,-0.0034706274285256,0.032985778286265,0.0110703797369089,0.91620451653224,43,2026-03-25 14:29:14,80,result_table_4_beta_bond_p2
binary,0.0089645180563031,0.0071002309311658,0.0090802637006315,0.0086803328673139,-0.0001157456443283,0.0067608253368381,0.0002930959930904,0.98634084643958,0.0002841851889892,0.0067600078326607,0.0017672926912728,0.9664674642440036,0.0003999308333175,0.0001547411115343,6.679721441011262,0.0097515862647641,1068,2026-03-25 14:33:21,86,result_table_1_3
binary,0.0277166611863542,0.0171931368916604,0.030732463872112,0.0321866680683505,-0.0030158026857578,0.0143657664848331,0.044070526795242,0.8337224524917435,-0.0044700068819963,0.0143686816104383,0.0967793142416767,0.7557293609721564,-0.0014542041962384,0.0009190791208787,2.50348496017496,0.1135946808607363,108,2026-03-25 14:33:39,86,result_table_2_3
continuous,-0.0546114812194988,0.0141514146822348,-0.0636932206618702,-0.0380380980266559,0.0090817394423713,0.0026682934461596,11.58432935323868,0.0006650991608525,-0.0165733831928429,0.0134213350861603,1.5248632744827937,0.2168850157335262,-0.0256551226352142,0.0139950380964692,3.3604699789355816,0.0667790078175668,1296,2026-03-25 14:38:24,90,result_table_2_4
binary,-0.8297147484699368,0.7843182640205062,0.1519455268881893,-0.1890429499364365,-0.981660275358126,0.778460116646961,1.5901924960112204,0.2072986336680473,-0.6406717985335002,0.756844319274924,0.7165691448011099,0.3972716029278254,0.3409884768246258,0.0960462483365611,12.604296033477317,0.0003848611633222,1510,2026-03-25 14:42:22,35,result_table_3_7
binary,0.001361574499249,0.0133272153936178,0.0178459695043301,0.0202590615120817,-0.0164843950050811,0.0093107890565719,3.134534472824309,0.0766502666621822,-0.0188974870128326,0.0122601867931673,2.375822204940693,0.1232267036613906,-0.0024130920077515,0.007313759388375,0.1088595225735498,0.741446307497942,1952,2026-03-25 14:45:57,95,result_table_1_A_1
binary,0.0187241169690706,0.0197159554937719,0.0204331572611033,0.024908682444198,-0.0017090402920327,0.0163342871211652,0.0109472297526611,0.9166701943179748,-0.0061845654751274,0.019225290148247,0.1034838499553109,0.7476882681404562,-0.0044755251830947,0.0080039465651382,0.3126652739486527,0.5760492535239173,1952,2026-03-25 14:48:15,95,result_table_1_A_2
binary,0.0671606991417049,0.0168261811655954,0.0470264934515889,0.0543711952487175,0.0201342056901159,0.0136904990692632,2.1628701251324567,0.1413803945103617,0.0127895038929873,0.0160198460350753,0.637368683872105,0.4246652440761492,-0.0073447017971286,0.0092589579786024,0.6292512821982622,0.4276300815361434,1464,2026-03-25 14:49:53,95,result_table_1_A_3
binary,-0.0364516441652459,0.0017787186202928,-0.00827911303887,-0.3212001800708447,-0.0281725311263758,0.0019808368615891,202.2806387232759,0.0,0.2847485359055987,0.0134526324689976,448.0313923919521,0.0,0.3129210670319746,0.0137678584072007,516.5790902513055,0.0,69543,2026-03-25 14:56:01,96,result_table_1_3
binary,0.0773087062451732,0.0020734055298821,0.0097096781220023,0.1008827993123316,0.0675990281231708,0.0021117830521521,1024.665947976437,0.0,-0.0235740930671583,0.0408774878791797,0.3325841824991075,0.5641413753070272,-0.0911731211903292,0.0409480184377027,4.957558695322826,0.0259768561146646,93375,2026-03-25 15:02:34,96,result_table_1_6
binary,-2.314912913583034,4.01127154719794,1.1016372351040886,0.8842443810597163,-3.416550148687123,3.955519614600292,0.7460509962391815,0.3877293961164839,-3.1991572946427507,4.006173911679125,0.6376929131882181,0.4245474634896385,0.2173928540443723,0.1952499128567956,1.2396778200591108,0.2655331547867442,141,2026-03-25 15:03:18,110,result_table_2_A_3
binary,18.940031096524603,55.9545032986495,1.4392302827551722,0.9503053285124672,17.50080081376943,55.82300784943486,0.0982854831704161,0.7538969036726841,17.989725768012136,55.949509738147306,0.103384757999141,0.7478049909437041,0.488924954242705,0.3319433606566264,2.16948391465893,0.1407734700965089,141,2026-03-25 15:03:39,110,result_table_2_A_6
binary,-13.799057789933045,556.6717187026896,0.8685763540032201,0.705437025225743,-14.667634143936263,556.6773397001499,0.0006942454646873,0.9789793404571512,-14.504494815158786,556.6752746467254,0.0006788930303271,0.9792130103958048,0.163139328777477,0.148125003546074,1.2129994242087514,0.2707389061446127,141,2026-03-25 15:04:02,110,result_table_2_A_9
continuous,0.1180372991066968,0.131824369348262,0.0137283440826546,0.008546885145342,0.1043089550240422,0.131813256383865,0.6262172271790591,0.4287462643559431,0.1094904139613548,0.1318228612033568,0.6898755098639342,0.4062067276473863,0.0051814589373126,0.0011012453299634,22.13787658868572,2.5375336686339622e-06,55212,2026-03-25 15:08:10,111,result_table_2_1
continuous,1.523777904340511e+58,1.5237779043405116e+58,0.3047135274141862,0.60823681077056,1.523777904340511e+58,1.5237779043405116e+58,0.9999999999999992,0.3173105078629143,1.523777904340511e+58,1.5237779043405116e+58,0.9999999999999994,0.3173105078629142,-0.3035232833563738,1.1695590741588284e+42,6.73503252631443e-86,1.0,875,2026-03-25 15:09:22,66,result_table_3_1
binary,-2.769034049963233,2.541510591511803,-0.3438181001974187,-0.0245891139979957,-2.425215949765814,2.5391382886329863,0.9122799344805322,0.3395102078761938,-2.7444449359652374,2.53975558643592,1.1676836377341768,0.279877702235174,-0.3192289861994229,0.1071192291621677,8.88116134036494,0.0028812820509148,2080,2026-03-25 15:11:14,117,result_table_1_A
continuous,-0.0503735941638356,0.0012939672139893,-0.0504299100417585,-0.0389911629534971,5.631587792288839e-05,0.000534179823422,0.0111144187987275,0.9160386239722192,-0.0113824312103384,0.0019693568979661,33.405748837617686,7.480252528502263e-09,-0.0114387470882613,0.0020139186870271,32.26064544753459,1.3481642580082113e-08,12242,2026-03-25 15:27:37,124,result_table_8_2
binary,0.1648900620203219,0.064110258889016,0.1827660173847152,0.1246323885244681,-0.0178759553643933,0.041532482748874,0.185251927943816,0.6668981321769201,0.0402576734958537,0.0605538396557672,0.4419915570321338,0.5061627786457217,0.058133628860247,0.0610006770996491,0.9082084870818375,0.3405902070510765,301,2026-03-25 15:34:12,131,result_table_2_B_3
binary,-0.6436493899097046,0.0539479453838338,-0.8308851681611157,-0.9704153759761034,0.1872357782514111,0.0700992720805546,7.134288440293917,0.0075623646042645,0.3267659860663988,0.0999943594613118,10.678805615343585,0.0010837000959521,0.1395302078149877,0.0729018919495947,3.663185264941851,0.0556271903237605,492,2026-03-25 15:35:15,135,result_table_3_1_1
continuous,-0.6562136738422831,0.43962849220067,-0.6562083923667449,-0.7983420890314195,-5.281475538243541e-06,0.0010706792937689,2.433278045750212e-05,0.9960641895990192,0.1421284151891363,0.10161378849397,1.9563949797119435,0.1618993942114075,0.1421336966646745,0.1016081416215532,1.956757856741901,0.1618604846829672,375642,2026-03-25 15:58:10,141,result_table_2_3
continuous,-0.1393324825266739,0.0794436325440686,-0.0390621425842423,-0.0436246629954947,-0.1002703399424315,0.0831202604616237,1.4552284737180552,0.2276908490367764,-0.0957078195311791,0.0899434140423557,1.1322859210910496,0.2872882725656769,0.0045625204112523,0.0226678627783499,0.0405124483957105,0.840481951564604,18262,2026-03-25 17:12:57,12,result_table_6_2
continuous,-0.3123796304740588,0.6411724264346323,0.3377992715397895,0.3381170497792237,-0.6501789020138484,0.6339759849158803,1.0517684312488782,0.3051001525745814,-0.6504966802532826,0.6341745320075893,1.052137681669128,0.3050152728065867,-0.0003177782394341,0.0055092764635589,0.0033270488408405,0.9540030660861244,386557,2026-03-25 17:49:36,92,result_table_1_1
continuous,-0.7773793910373543,0.3589413353125114,-0.6703696780938561,-0.6642424506378817,-0.1070097129434982,0.1851459546372816,0.3340549745822861,0.5632810715029474,-0.1131369403994726,0.1855628008985907,0.3717294946068439,0.5420630514341136,-0.0061272274559743,0.0102508836474805,0.3572772780141584,0.5500222677398436,51,2026-03-25 18:21:20,79,result_table_3_A_4
continuous,-0.0677484851607242,0.0500035026117132,-0.1329060023988184,-0.1325311336690842,0.0651575172380942,0.0265600568067265,6.0182615232217,0.0141585870968274,0.06478264850836,0.0265184870249448,5.967877690306882,0.0145688047575104,-0.0003748687297341,0.0003672847505841,1.0417239162081295,0.307420873311073,46,2026-03-25 18:21:32,79,result_table_9_A_5
continuous,-138.72076095680333,130.44995256852235,-0.0622358903712994,-0.0634268020995907,-138.65852506643202,130.40163513681438,1.1306471130157782,0.2876373506126378,-138.65733415470373,130.40195622964754,1.1306221233193896,0.2876426777723606,0.0011909117282913,0.001092283962117,1.188743158707295,0.2755832227223825,19,2026-03-25 18:21:47,84,result_table_5_1
continuous,2.735068743096515,6.261415826273574,-0.0731064585435299,-0.0731494768604266,2.808175201640045,6.260846690591784,0.2011788221136365,0.6537710126145054,2.8082182199569417,6.260722407833454,0.2011929734605472,0.6537596305219426,4.3018316896722975e-05,0.0008616425756439,0.0024925996429128,0.9601814046838396,19,2026-03-25 18:22:03,84,result_table_5_4
continuous,-0.0051554326488234,0.0494690216383511,0.0789111712422224,-0.2267557559619683,-0.0840666038910459,0.0146793696617621,32.79685441690773,1.0231026692508749e-08,0.2216003233131449,0.059191922266494,14.015735447425536,0.0001812871604951,0.3056669272041908,0.0594074459727367,26.47373021604332,2.671464316428285e-07,33723,2026-03-25 18:28:13,103,result_table_1_B_1
continuous,0.0191716942125317,0.0434869342277276,0.0508132026517444,-0.2499217629725272,-0.0316415084392126,0.0405568204815278,0.6086765324606196,0.4352865546291169,0.269093457185059,0.0449811148498988,35.78869366541761,2.1992047072316723e-09,0.3007349656242717,0.0224199175653151,179.9284454154866,0.0,34892,2026-03-25 18:32:44,103,result_table_2_1
continuous,-0.6182426810665314,0.1123419535483537,-0.6727369819490316,-0.6512940678903116,0.0544943008825002,0.0309583646318302,3.0984618153802024,0.0783663061469654,0.0330513868237802,0.1013416529625257,0.1063661418577459,0.7443197773093411,-0.02144291405872,0.1036437287898044,0.0428037236546965,0.8360952916110154,500,2026-03-25 18:33:15,159,result_table_1_A_3
continuous,-0.7329666942263644,0.1493729792772151,-0.7468840960562093,-0.7244774583580887,0.0139174018298449,0.0384260266796568,0.1311793193786719,0.7172124003942175,-0.0084892358682756,0.1428077639156472,0.0035337316205158,0.952597513518047,-0.0224066376981205,0.1250327505011382,0.0321148437876224,0.8577758357962778,500,2026-03-25 18:33:45,159,result_table_1_B_3
continuous,2.5772023273948363,0.158454088787311,2.749228706231487,3.0600216534249123,-0.1720263788366507,0.0401521918643034,18.3557265463379,1.8326731730744505e-05,-0.4828193260300759,0.1537469300941892,9.861804417983262,0.0016874552073772,-0.3107929471934252,0.1453350825218055,4.573001949572902,0.0324796020955002,4273,2026-03-25 18:44:05,161,result_table_4_A_2
continuous,-0.6119356743683957,0.0517933222041465,-0.5998942592156775,-0.2710444129783599,-0.0120414151527181,0.0094838220167979,1.6120862352358238,0.2041987895268061,-0.3408912613900358,0.0567711147353044,36.055945858288375,1.9173285181750543e-09,-0.3288498462373176,0.0567763543808035,33.547509174208955,6.954437581363493e-09,4273,2026-03-25 18:54:10,161,result_table_4_B_2
continuous,-0.0165040928890119,0.0469362839995138,0.0216376549739658,-0.0270601613467447,-0.0381417478629778,0.0469777983258256,0.6591979733749381,0.4168432316780911,0.0105560684577328,0.0469427487605085,0.0505670203042272,0.8220795373553073,0.0486978163207106,0.0021882557826122,495.2480850528943,0.0,3895,2026-03-25 19:03:52,163,result_table_1_4
continuous,-0.2878108391843156,0.2102807393507994,-0.4141326127154935,-0.66805416501357,0.1263217735311779,0.2086608097976843,0.3665005678466292,0.5449179650116363,0.3802433258292543,0.2189211951422107,3.0168073605128862,0.0824055476089418,0.2539215522980764,0.0575812090857848,19.44632630947904,1.034666587917954e-05,298,2026-03-25 19:04:23,164,result_table_1_1
continuous,-0.310588367678394,0.0239853809122756,-0.4451662574545969,-0.4813563597710757,0.1345778897762029,0.0221589151895934,36.88505519893528,1.253027459569011e-09,0.1707679920926818,0.0270732399973093,39.78620147695684,2.833397960699813e-10,0.0361901023164788,0.0136826716185742,6.99580690346704,0.0081700870922416,298,2026-03-25 19:04:59,164,result_table_1_3
binary,-0.8833400487270321,0.2418689569734652,-0.4560633399111025,-0.2822865006247335,-0.4272767088159296,0.2264437760882619,3.5603907386438984,0.05917380818616,-0.6010535481022986,0.252013626110289,5.688244870711031,0.017078927956161,-0.173776839286369,0.1089541613116306,2.5438772047799763,0.1107225968432156,2450,2026-03-25 19:38:25,167,result_table_3_1
continuous,2.270354443857244,0.2199005433268238,2.2703279007684283,1.720178742526468,2.654308881577805e-05,0.0424087597167573,3.917344607021275e-07,0.9995006145069824,0.5501757013307762,0.2215502386478959,6.166778748690381,0.0130171418874343,0.5501491582419604,0.2166816824348771,6.446388978852329,0.0111178084839997,2867,2026-03-25 19:51:04,170,result_table_2_A_1
continuous,2.1834370659205016,0.2697418329588472,2.184312539838322,1.8165761881225049,-0.0008754739178202,0.0407846303556088,0.0004607797270353,0.982874100475865,0.3668608777979969,0.2718909409133879,1.8205949194516475,0.1772424781814464,0.3677363517158172,0.2695175830340658,1.861653793416788,0.1724340500870628,2867,2026-03-25 19:59:33,170,result_table_2_A_2
continuous,2.141733988509061,0.2164470842967168,2.1418120536940988,1.5988990671937695,-7.80651850376124e-05,0.040003102161587,3.808267480887962e-06,0.998442946597194,0.5428349213152917,0.2177377156756836,6.215387822965912,0.0126644605996822,0.5429129865003293,0.2134921366705819,6.466908151113088,0.0109901570966578,2867,2026-03-25 20:07:38,170,result_table_2_A_3
continuous,-23.776943319516253,3.665129310407468,-23.05638510192153,-29.583247622413552,-0.7205582175947214,2.0594003085211043,0.1224211920287566,0.7264232041370149,5.806304302897299,4.397970910451598,1.7429899426210025,0.1867604267601055,6.5268625204920205,4.180374829683537,2.437690032940846,0.1184505409223878,140,2026-03-25 20:07:56,172,result_table_6_A_6
continuous,-16.99561856135818,2.5603142241420898,-16.761233622315114,-18.83869442645617,-0.2343849390430676,1.4075825381906308,0.0277275605380161,0.8677509346320716,1.8430758650979868,2.887383019545251,0.4074531015613096,0.5232650492290869,2.0774608041410545,2.5596680573232904,0.6587162535198091,0.4170135201820243,147,2026-03-25 20:08:17,172,result_table_6_A_8
binary,0.0401348417570751,0.1005611508169702,0.2973156636767109,0.047144935630816,-0.2571808219196357,0.0970285017464763,7.025520562496459,0.0080356108008768,-0.0070100938737409,0.0842648495993016,0.0069207755950467,0.9336995106440044,0.2501707280458948,0.0398767854886191,39.35797093636054,3.5280967036754873e-10,3292,2026-03-25 20:13:54,173,result_table_2_1
continuous,0.2389074157919696,0.0109151661246017,0.2494110095492035,0.1043587236656278,-0.0105035937572338,0.0071726523228118,2.1444517192857835,0.1430861464173927,0.1345486921263418,0.0109018280909122,152.32118240832884,0.0,0.1450522858835757,0.0154798155610647,87.80466510862975,0.0,6002,2026-03-25 20:16:19,174,result_table_3_1
continuous,-0.4200027935924722,0.250218218023083,-0.4589615389518616,-0.6631461712274347,0.0389587453593893,0.113159052452996,0.1185308285316661,0.7306334192340831,0.2431433776349624,0.221059969630654,1.209775203981521,0.2713766467375239,0.2041846322755731,0.1999398103623887,1.0429117317734158,0.3071452457817201,578,2026-03-25 20:16:48,175,result_table_4_3
continuous,-1.94313394312996,0.2649954189848537,-1.936003841169292,-1.876856317086284,-0.0071301019606682,0.2645543617054881,0.0007263762375478,0.9784985226317764,-0.0662776260436763,0.2645619147060675,0.0627594658420819,0.8021864815956943,-0.0591475240830081,0.0025632519633589,532.4643577182028,0.0,54,2026-03-25 20:17:00,176,result_table_2_4
continuous,-0.8964532446249063,0.164779456170033,-0.6932378672807741,-0.5362721302511702,-0.2032153773441322,0.1705052991727165,1.4204873608980437,0.2333232025288411,-0.3601811143737361,0.1672503357243074,4.637755812754816,0.03127587610245097,-0.15696573702960392,0.026709906573630798,34.53543966580761,4.185607749285225e-09,3884,2026-03-25 20:25:35,065,result_table_3_1
